respondent_label,title,rating
Person 1,The Drama,4
Person 1,Michael,3
Person 1,Obsession,5
Person 1,Backrooms,4
Person 1,The Odyssey,5
Person 1,Spider-Man: Brand New Day,3
Person 2,The Drama,
Person 2,Michael,4
Person 2,Obsession,2
Person 2,Backrooms,
Person 2,The Odyssey,
Person 2,Spider-Man: Brand New Day,4
Person 3,The Drama,
Person 3,Michael,4
Person 3,Obsession,5
Person 3,Backrooms,
Person 3,The Odyssey,5
Person 3,Spider-Man: Brand New Day,5
Person 4,The Drama,
Person 4,Michael,
Person 4,Obsession,4
Person 4,Backrooms,
Person 4,The Odyssey,
Person 4,Spider-Man: Brand New Day,4
Person 5,The Drama,4
Person 5,Michael,4
Person 5,Obsession,5
Person 5,Backrooms,3
Person 5,The Odyssey,5
Person 5,Spider-Man: Brand New Day,4
Person 6,The Drama,3
Person 6,Michael,
Person 6,Obsession,
Person 6,Backrooms,2
Person 6,The Odyssey,4
Person 6,Spider-Man: Brand New Day,5
Person 7,The Drama,4
Person 7,Michael,
Person 7,Obsession,5
Person 7,Backrooms,5
Person 7,The Odyssey,
Person 7,Spider-Man: Brand New Day,
Person 8,The Drama,
Person 8,Michael,
Person 8,Obsession,
Person 8,Backrooms,
Person 8,The Odyssey,4
Person 8,Spider-Man: Brand New Day,
Person 9,The Drama,
Person 9,Michael,
Person 9,Obsession,2
Person 9,Backrooms,
Person 9,The Odyssey,1
Person 9,Spider-Man: Brand New Day,3
Person 10,The Drama,5
Person 10,Michael,5
Person 10,Obsession,5
Person 10,Backrooms,4
Person 10,The Odyssey,
Person 10,Spider-Man: Brand New Day,5
Person 11,The Drama,
Person 11,Michael,5
Person 11,Obsession,5
Person 11,Backrooms,
Person 11,The Odyssey,5
Person 11,Spider-Man: Brand New Day,5
Person 12,The Drama,3
Person 12,Michael,4
Person 12,Obsession,4
Person 12,Backrooms,
Person 12,The Odyssey,
Person 12,Spider-Man: Brand New Day,5
Person 13,The Drama,3
Person 13,Michael,4
Person 13,Obsession,4
Person 13,Backrooms,3
Person 13,The Odyssey,3
Person 13,Spider-Man: Brand New Day,4
Person 14,The Drama,
Person 14,Michael,
Person 14,Obsession,4
Person 14,Backrooms,
Person 14,The Odyssey,
Person 14,Spider-Man: Brand New Day,5
Person 15,The Drama,5
Person 15,Michael,4
Person 15,Obsession,
Person 15,Backrooms,
Person 15,The Odyssey,
Person 15,Spider-Man: Brand New Day,
Person 16,The Drama,
Person 16,Michael,1
Person 16,Obsession,4
Person 16,Backrooms,3
Person 16,The Odyssey,5
Person 16,Spider-Man: Brand New Day,3
Person 17,The Drama,3
Person 17,Michael,3
Person 17,Obsession,3
Person 17,Backrooms,3
Person 17,The Odyssey,4
Person 17,Spider-Man: Brand New Day,3
Person 18,The Drama,3
Person 18,Michael,
Person 18,Obsession,3
Person 18,Backrooms,1
Person 18,The Odyssey,5
Person 18,Spider-Man: Brand New Day,2
Person 19,The Drama,
Person 19,Michael,
Person 19,Obsession,
Person 19,Backrooms,
Person 19,The Odyssey,4
Person 19,Spider-Man: Brand New Day,5
Person 20,The Drama,
Person 20,Michael,3
Person 20,Obsession,4
Person 20,Backrooms,
Person 20,The Odyssey,
Person 20,Spider-Man: Brand New Day,
Person 21,The Drama,3
Person 21,Michael,
Person 21,Obsession,4
Person 21,Backrooms,
Person 21,The Odyssey,
Person 21,Spider-Man: Brand New Day,3
Person 22,The Drama,3
Person 22,Michael,2
Person 22,Obsession,3
Person 22,Backrooms,3
Person 22,The Odyssey,4
Person 22,Spider-Man: Brand New Day,2
